Date        Time      Moisture Level  Ambient Light  Pump Active  Pump Water Alarm  Plant Water Alarm
03/06/2023  22:53:21  7               15             0            1                 0
03/06/2023  22:53:22  7               15             0            1                 0
03/06/2023  22:53:23  7               15             0            1                 0
03/06/2023  22:53:24  7               15             0            1                 0
03/06/2023  22:53:25  7               15             0            1                 0
03/06/2023  22:53:26  7               15             0            1                 0
03/06/2023  22:53:27  7               15             0            1                 0
03/06/2023  22:53:28  7               15             0            1                 0
03/06/2023  22:53:29  7               15             0            1                 0
03/06/2023  22:53:30  7               15             0            1                 0
03/06/2023  22:53:31  7               15             0            1                 0
03/06/2023  22:53:33  7               15             0            1                 0
03/06/2023  22:53:34  7               15             0            1                 0
03/06/2023  22:53:36  7               15             0            1                 0
03/06/2023  22:53:37  7               15             0            1                 0
03/06/2023  22:53:38  7               15             0            1                 0
03/06/2023  22:53:39  7               15             0            1                 0
03/06/2023  22:53:40  6               15             0            1                 0
03/06/2023  22:53:41  7               15             0            1                 0
03/06/2023  22:53:42  7               15             0            1                 0
03/06/2023  22:53:43  7               15             0            1                 0
03/06/2023  22:53:44  7               15             0            1                 0
03/06/2023  22:53:45  7               15             0            1                 0
03/06/2023  22:53:46  7               15             0            1                 0
03/06/2023  22:53:47  7               15             0            1                 0
03/06/2023  22:53:48  7               15             0            1                 0
03/06/2023  22:53:49  7               15             0            1                 0
03/06/2023  22:53:50  7               15             0            1                 0
03/06/2023  22:53:51  7               15             0            1                 0
03/06/2023  22:53:52  7               15             0            1                 0
03/06/2023  22:53:53  7               15             0            1                 0
03/06/2023  22:53:54  7               15             0            1                 0
03/06/2023  22:53:55  7               15             0            1                 0
03/06/2023  22:53:56  7               15             0            1                 0
03/06/2023  22:53:59  7               15             0            1                 0
03/06/2023  22:54:00  7               15             0            1                 0
03/06/2023  22:54:01  7               15             0            1                 0
03/06/2023  22:54:02  7               15             0            1                 0
03/06/2023  22:54:03  7               15             0            1                 0
03/06/2023  22:54:04  7               15             0            1                 0
03/06/2023  22:54:05  7               15             0            1                 0
03/06/2023  22:54:06  7               15             0            1                 0
03/06/2023  22:54:07  7               15             0            1                 0
03/06/2023  22:54:08  7               15             0            1                 0
03/06/2023  22:54:09  7               15             0            1                 0
03/06/2023  22:54:10  7               15             0            1                 0
03/06/2023  22:54:11  7               15             0            1                 0
03/06/2023  22:54:12  7               15             0            1                 0
03/06/2023  22:54:13  7               15             0            1                 0
03/06/2023  22:54:14  7               15             0            1                 0
03/06/2023  22:54:15  7               15             0            1                 0
03/06/2023  22:54:16  7               15             0            1                 0
03/06/2023  22:54:17  7               15             0            1                 0
03/06/2023  22:54:18  7               15             0            1                 0
03/06/2023  22:54:19  7               15             0            1                 0
03/06/2023  22:54:21  7               15             0            1                 0
03/06/2023  22:54:22  7               15             0            1                 0
03/06/2023  22:54:23  7               15             0            1                 0
03/06/2023  22:54:24  7               15             0            1                 0
03/06/2023  22:54:25  7               15             0            1                 0
03/06/2023  22:54:26  7               15             0            1                 0
03/06/2023  22:54:27  7               15             0            1                 0
03/06/2023  22:54:28  7               15             0            1                 0
03/06/2023  22:54:29  7               15             0            1                 0
03/06/2023  22:54:30  7               15             0            1                 0
03/06/2023  22:54:31  7               15             0            1                 0
03/06/2023  22:54:32  7               15             0            1                 0
03/06/2023  22:54:33  7               15             0            1                 0
03/06/2023  22:54:34  7               15             0            1                 0
03/06/2023  22:54:35  7               15             0            1                 0
03/06/2023  22:54:36  7               15             0            1                 0
03/06/2023  22:54:37  7               15             0            1                 0
03/06/2023  22:54:38  7               15             0            1                 0
03/06/2023  22:54:39  7               15             0            1                 0
03/06/2023  22:54:40  7               15             0            1                 0
03/06/2023  22:54:41  7               15             0            1                 0
03/06/2023  22:54:42  7               15             0            1                 0
03/06/2023  22:54:44  7               15             0            1                 0
03/06/2023  22:54:45  7               15             0            1                 0
03/06/2023  22:54:46  7               15             0            1                 0
03/06/2023  22:54:47  7               15             0            1                 0
03/06/2023  22:54:48  7               15             0            1                 0
03/06/2023  22:54:49  7               15             0            1                 0
03/06/2023  22:54:50  7               15             0            1                 0
03/06/2023  22:54:51  7               15             0            1                 0
03/06/2023  22:54:52  7               15             0            1                 0
03/06/2023  22:54:53  7               15             0            1                 0
03/06/2023  22:54:54  7               15             0            1                 0
03/06/2023  22:54:55  7               15             0            1                 0
03/06/2023  22:54:56  7               15             0            1                 0
03/06/2023  22:54:57  7               15             0            1                 0
03/06/2023  22:54:58  7               15             0            1                 0
03/06/2023  22:54:59  7               15             0            1                 0
03/06/2023  22:55:00  7               15             0            1                 0
03/06/2023  22:55:01  7               15             0            1                 0
03/06/2023  22:55:02  7               15             0            1                 0
03/06/2023  22:55:03  7               15             0            1                 0
03/06/2023  22:55:05  7               15             0            1                 0
03/06/2023  22:55:06  7               15             0            1                 0
03/06/2023  22:55:07  7               15             0            1                 0
03/06/2023  22:55:08  7               15             0            1                 0
03/06/2023  22:55:09  7               15             0            1                 0
03/06/2023  22:55:10  7               15             0            1                 0
03/06/2023  22:55:11  7               15             0            1                 0
03/06/2023  22:55:12  7               15             0            1                 0
03/06/2023  22:55:13  7               15             0            1                 0
03/06/2023  22:55:14  7               15             0            1                 0
03/06/2023  22:55:15  7               15             0            1                 0
03/06/2023  22:55:16  7               15             0            1                 0
03/06/2023  22:55:17  7               15             0            1                 0
03/06/2023  22:55:18  7               15             0            1                 0
03/06/2023  22:55:19  7               15             0            1                 0
03/06/2023  22:55:20  7               15             0            1                 0
03/06/2023  22:55:21  7               15             0            1                 0
03/06/2023  22:55:22  7               15             0            1                 0
03/06/2023  22:55:23  7               15             0            1                 0
03/06/2023  22:55:24  7               15             0            1                 0
03/06/2023  22:55:25  7               15             0            1                 0
03/06/2023  22:55:26  7               15             0            1                 0
03/06/2023  22:55:28  7               15             0            1                 0
03/06/2023  22:55:29  7               15             0            1                 0
03/06/2023  22:55:30  7               15             0            1                 0
03/06/2023  22:55:31  7               15             0            1                 0
03/06/2023  22:55:32  7               15             0            1                 0
03/06/2023  22:55:33  7               15             0            1                 0
03/06/2023  22:55:34  7               15             0            1                 0
03/06/2023  22:55:35  7               15             0            1                 0
03/06/2023  22:55:36  7               15             0            1                 0
03/06/2023  22:55:37  7               15             0            1                 0
03/06/2023  22:55:38  7               15             0            1                 0
03/06/2023  22:55:39  7               15             0            1                 0
03/06/2023  22:55:40  7               15             0            1                 0
03/06/2023  22:55:41  7               15             0            1                 0
03/06/2023  22:55:42  7               15             0            1                 0
03/06/2023  22:55:43  7               15             0            1                 0
03/06/2023  22:55:44  7               15             0            1                 0
03/06/2023  22:55:45  7               15             0            1                 0
03/06/2023  22:55:46  7               15             0            1                 0
03/06/2023  22:55:47  7               15             0            1                 0
03/06/2023  22:55:48  7               15             0            1                 0
03/06/2023  22:55:49  7               15             0            1                 0
03/06/2023  22:55:51  7               15             0            1                 0
03/06/2023  22:55:52  7               15             0            1                 0
03/06/2023  22:55:53  7               15             0            1                 0
03/06/2023  22:55:54  7               15             0            1                 0
03/06/2023  22:55:55  7               15             0            1                 0
03/06/2023  22:55:56  7               15             0            1                 0
03/06/2023  22:55:57  7               15             0            1                 0
03/06/2023  22:55:58  7               15             0            1                 0
03/06/2023  22:55:59  7               15             0            1                 0
03/06/2023  22:56:00  7               15             0            1                 0
03/06/2023  22:56:01  7               15             0            1                 0
03/06/2023  22:56:02  7               15             0            1                 0
03/06/2023  22:56:03  7               15             0            1                 0
03/06/2023  22:56:04  7               16             0            1                 0
03/06/2023  22:56:05  7               15             0            1                 0
03/06/2023  22:56:06  7               16             0            1                 0
03/06/2023  22:56:07  7               15             0            1                 0
03/06/2023  22:56:08  7               15             0            1                 0
03/06/2023  22:56:09  7               15             0            1                 0
03/06/2023  22:56:10  7               15             0            1                 0
03/06/2023  22:56:11  7               15             0            1                 0
03/06/2023  22:56:13  7               15             0            1                 0
03/06/2023  22:56:14  7               15             0            1                 0
03/06/2023  22:56:15  7               15             0            1                 0
03/06/2023  22:56:16  7               15             0            1                 0
03/06/2023  22:56:17  7               15             0            1                 0
03/06/2023  22:56:18  7               15             0            1                 0
03/06/2023  22:56:19  7               15             0            1                 0
03/06/2023  22:56:20  7               15             0            1                 0
03/06/2023  22:56:21  7               15             0            1                 0
03/06/2023  22:56:22  7               15             0            1                 0
03/06/2023  22:56:23  7               15             0            1                 0
03/06/2023  22:56:24  7               15             0            1                 0
03/06/2023  22:56:25  7               15             0            1                 0
03/06/2023  22:56:26  7               15             0            1                 0
03/06/2023  22:56:27  7               15             0            1                 0
03/06/2023  22:56:28  7               15             0            1                 0
03/06/2023  22:56:29  7               15             0            1                 0
03/06/2023  22:56:30  7               15             0            1                 0
03/06/2023  22:56:31  7               15             0            1                 0
03/06/2023  22:56:32  7               15             0            1                 0
03/06/2023  22:56:33  7               15             0            1                 0
03/06/2023  22:56:34  7               15             0            1                 0
03/06/2023  22:56:36  7               15             0            1                 0
03/06/2023  22:56:37  7               16             0            1                 0
03/06/2023  22:56:38  7               16             0            1                 0
03/06/2023  22:56:39  7               16             0            1                 0
03/06/2023  22:56:40  7               15             0            1                 0
03/06/2023  22:56:41  7               15             0            1                 0
03/06/2023  22:56:42  7               15             0            1                 0
03/06/2023  22:56:43  7               15             0            1                 0
03/06/2023  22:56:44  7               16             0            1                 0
03/06/2023  22:56:45  7               16             0            1                 0
03/06/2023  22:56:46  7               15             0            1                 0
03/06/2023  22:56:47  7               15             0            1                 0
03/06/2023  22:56:48  7               16             0            1                 0
03/06/2023  22:56:49  7               16             0            1                 0
03/06/2023  22:56:50  7               16             0            1                 0
03/06/2023  22:56:51  7               16             0            1                 0
03/06/2023  22:56:52  7               15             0            1                 0
03/06/2023  22:56:53  7               15             0            1                 0
03/06/2023  22:56:54  7               16             0            1                 0
03/06/2023  22:56:55  7               16             0            1                 0
03/06/2023  22:56:56  7               16             0            1                 0
03/06/2023  22:56:57  7               16             0            1                 0
03/06/2023  22:56:59  7               16             0            1                 0
03/06/2023  22:57:00  7               16             0            1                 0
03/06/2023  22:57:01  7               16             0            1                 0
03/06/2023  22:57:02  7               15             0            1                 0
03/06/2023  22:57:03  7               15             0            1                 0
03/06/2023  22:57:04  7               16             0            1                 0
03/06/2023  22:57:05  7               16             0            1                 0
03/06/2023  22:57:06  7               16             0            1                 0
03/06/2023  22:57:07  7               16             0            1                 0
03/06/2023  22:57:08  7               16             0            1                 0
03/06/2023  22:57:09  7               16             0            1                 0
03/06/2023  22:57:10  7               16             0            1                 0
03/06/2023  22:57:11  7               16             0            1                 0
03/06/2023  22:57:12  7               16             0            1                 0
03/06/2023  22:57:13  7               16             0            1                 0
03/06/2023  22:57:14  7               16             0            1                 0
03/06/2023  22:57:15  7               16             0            1                 0
03/06/2023  22:57:16  7               16             0            1                 0
03/06/2023  22:57:17  7               16             0            1                 0
03/06/2023  22:57:18  7               16             0            1                 0
03/06/2023  22:57:19  7               16             0            1                 0
03/06/2023  22:57:20  7               16             0            1                 0
03/06/2023  22:57:22  7               16             0            1                 0
03/06/2023  22:57:23  7               16             0            1                 0
03/06/2023  22:57:24  7               16             0            1                 0
03/06/2023  22:57:25  7               16             0            1                 0
03/06/2023  22:57:26  7               16             0            1                 0
03/06/2023  22:57:27  7               16             0            1                 0
03/06/2023  22:57:28  7               16             0            1                 0
03/06/2023  22:57:29  7               16             0            1                 0
03/06/2023  22:57:30  7               16             0            1                 0
03/06/2023  22:57:31  7               16             0            1                 0
03/06/2023  22:57:32  7               16             0            1                 0
03/06/2023  22:57:33  7               16             0            1                 0
03/06/2023  22:57:34  7               16             0            1                 0
03/06/2023  22:57:35  7               16             0            1                 0
03/06/2023  22:57:36  7               16             0            1                 0
03/06/2023  22:57:37  7               16             0            1                 0
03/06/2023  22:57:38  7               16             0            1                 0
03/06/2023  22:57:39  7               16             0            1                 0
03/06/2023  22:57:40  7               16             0            1                 0
03/06/2023  22:57:42  7               16             0            1                 0
03/06/2023  22:57:44  7               16             0            1                 0
03/06/2023  22:57:45  7               16             0            1                 0
03/06/2023  22:57:46  7               16             0            1                 0
03/06/2023  22:57:47  7               16             0            1                 0
03/06/2023  22:57:48  7               16             0            1                 0
03/06/2023  22:57:49  7               16             0            1                 0
03/06/2023  22:57:50  7               16             0            1                 0
03/06/2023  22:57:51  7               16             0            1                 0
03/06/2023  22:57:52  7               16             0            1                 0
03/06/2023  22:57:53  7               16             0            1                 0
03/06/2023  22:57:54  7               16             0            1                 0
03/06/2023  22:57:55  7               16             0            1                 0
03/06/2023  22:57:56  7               16             0            1                 0
03/06/2023  22:57:57  7               16             0            1                 0
03/06/2023  22:57:58  7               16             0            1                 0
03/06/2023  22:57:59  7               16             0            1                 0
03/06/2023  22:58:00  7               16             0            1                 0
03/06/2023  22:58:01  7               16             0            1                 0
03/06/2023  22:58:02  7               16             0            1                 0
03/06/2023  22:58:03  7               16             0            1                 0
03/06/2023  22:58:04  7               16             0            1                 0
03/06/2023  22:58:05  7               16             0            1                 0
03/06/2023  22:58:07  7               16             0            1                 0
03/06/2023  22:58:08  7               16             0            1                 0
03/06/2023  22:58:09  7               16             0            1                 0
03/06/2023  22:58:10  7               16             0            1                 0
03/06/2023  22:58:11  7               16             0            1                 0
03/06/2023  22:58:12  7               16             0            1                 0
03/06/2023  22:58:13  7               16             0            1                 0
03/06/2023  22:58:14  7               16             0            1                 0
03/06/2023  22:58:15  7               16             0            1                 0
03/06/2023  22:58:16  7               16             0            1                 0
03/06/2023  22:58:17  7               16             0            1                 0
03/06/2023  22:58:18  7               16             0            1                 0
03/06/2023  22:58:19  7               16             0            1                 0
03/06/2023  22:58:20  7               16             0            1                 0
03/06/2023  22:58:21  7               16             0            1                 0
03/06/2023  22:58:22  7               16             0            1                 0
03/06/2023  22:58:23  7               16             0            1                 0
03/06/2023  22:58:24  7               16             0            1                 0
03/06/2023  22:58:25  7               16             0            1                 0
03/06/2023  22:58:26  7               16             0            1                 0
03/06/2023  22:58:27  7               16             0            1                 0
03/06/2023  22:58:28  7               16             0            1                 0
03/06/2023  22:58:30  7               16             0            1                 0
03/06/2023  22:58:31  7               16             0            1                 0
03/06/2023  22:58:32  7               16             0            1                 0
03/06/2023  22:58:33  7               16             0            1                 0
03/06/2023  22:58:34  7               16             0            1                 0
03/06/2023  22:58:35  7               16             0            1                 0
03/06/2023  22:58:36  7               16             0            1                 0
03/06/2023  22:58:37  7               16             0            1                 0
03/06/2023  22:58:38  7               16             0            1                 0
03/06/2023  22:58:39  7               16             0            1                 0
03/06/2023  22:58:40  7               16             0            1                 0
03/06/2023  22:58:41  7               16             0            1                 0
03/06/2023  22:58:42  7               16             0            1                 0
03/06/2023  22:58:43  7               16             0            1                 0
03/06/2023  22:58:52  7               16             0            1                 0
03/06/2023  22:58:53  7               16             0            1                 0
03/06/2023  22:58:55  5               14             0            1                 0
03/06/2023  22:58:56  5               14             0            1                 0
03/06/2023  22:58:57  5               14             0            1                 0
03/06/2023  22:58:58  5               14             0            1                 0
03/06/2023  22:58:59  5               14             0            1                 0
03/06/2023  22:59:00  5               14             0            1                 0
03/06/2023  22:59:01  5               14             0            1                 0
03/06/2023  22:59:02  5               14             0            1                 0
03/06/2023  22:59:03  5               14             0            1                 0
03/06/2023  22:59:04  5               14             0            1                 0
03/06/2023  22:59:05  5               14             0            1                 0
03/06/2023  22:59:06  5               14             0            1                 0
03/06/2023  22:59:08  5               14             0            1                 0
03/06/2023  22:59:09  5               14             0            1                 0
03/06/2023  22:59:10  5               14             0            1                 0
03/06/2023  22:59:11  5               14             0            1                 0
03/06/2023  22:59:12  5               14             0            1                 0
03/06/2023  22:59:13  5               14             0            1                 0
03/06/2023  22:59:14  5               14             0            1                 0
03/06/2023  22:59:15  5               14             0            1                 0
03/06/2023  22:59:16  5               14             0            1                 0
03/06/2023  22:59:17  5               14             0            1                 0
03/06/2023  22:59:18  5               14             0            1                 0
03/06/2023  22:59:19  5               14             0            1                 0
03/06/2023  22:59:20  5               14             0            1                 0
03/06/2023  22:59:21  5               14             0            1                 0
03/06/2023  22:59:22  5               14             0            1                 0
03/06/2023  22:59:23  5               14             0            1                 0
03/06/2023  22:59:24  5               14             0            1                 0
03/06/2023  22:59:25  5               14             0            1                 0
03/06/2023  22:59:26  5               14             0            1                 0
03/06/2023  22:59:27  5               14             0            1                 0
03/06/2023  22:59:28  5               14             0            1                 0
03/06/2023  22:59:29  5               14             0            1                 0
03/06/2023  22:59:31  5               14             0            1                 0
03/06/2023  22:59:32  5               14             0            1                 0
03/06/2023  22:59:33  5               14             0            1                 0
03/06/2023  22:59:34  5               14             0            1                 0
03/06/2023  22:59:35  5               14             0            1                 0
03/06/2023  22:59:36  5               14             0            1                 0
03/06/2023  22:59:37  5               14             0            1                 0
03/06/2023  22:59:38  5               14             0            1                 0
03/06/2023  22:59:39  5               14             0            1                 0
03/06/2023  22:59:40  5               14             0            1                 0
03/06/2023  22:59:41  5               14             0            1                 0
03/06/2023  22:59:42  5               13             0            1                 0
03/06/2023  22:59:43  5               14             0            1                 0
03/06/2023  22:59:44  5               14             0            1                 0
03/06/2023  22:59:45  5               14             0            1                 0
03/06/2023  22:59:46  5               14             0            1                 0
03/06/2023  22:59:47  5               14             0            1                 0
03/06/2023  22:59:48  5               14             0            1                 0
03/06/2023  22:59:49  5               14             0            1                 0
03/06/2023  22:59:50  5               14             0            1                 0
03/06/2023  22:59:51  5               14             0            1                 0
03/06/2023  22:59:53  5               14             0            1                 0
03/06/2023  22:59:54  5               14             0            1                 0
03/06/2023  22:59:55  5               14             0            1                 0
03/06/2023  22:59:57  5               14             0            1                 0
03/06/2023  22:59:58  5               14             0            1                 0
03/06/2023  23:00:00  5               14             0            1                 0
03/06/2023  23:00:01  5               14             0            1                 0
03/06/2023  23:00:02  5               14             0            1                 0
03/06/2023  23:00:04  5               14             0            1                 0
03/06/2023  23:00:05  5               14             0            1                 0
03/06/2023  23:00:07  5               14             0            1                 0
03/06/2023  23:00:09  5               14             0            1                 0
03/06/2023  23:00:11  5               14             0            1                 0
03/06/2023  23:00:12  5               14             0            1                 0
03/06/2023  23:00:14  5               14             0            1                 0
03/06/2023  23:00:15  5               14             0            1                 0
03/06/2023  23:00:16  5               14             0            1                 0
03/06/2023  23:00:18  5               14             0            1                 0
03/06/2023  23:00:19  5               14             0            1                 0
03/06/2023  23:00:21  5               14             0            1                 0
03/06/2023  23:00:22  5               14             0            1                 0
03/06/2023  23:00:23  6               14             0            1                 0
03/06/2023  23:00:24  5               14             0            1                 0
03/06/2023  23:00:25  5               14             0            1                 0
03/06/2023  23:00:27  5               14             0            1                 0
03/06/2023  23:00:28  5               14             0            1                 0
03/06/2023  23:00:29  5               14             0            1                 0
03/06/2023  23:00:31  5               13             0            1                 0
03/06/2023  23:00:32  5               14             0            1                 0
03/06/2023  23:00:34  5               14             0            1                 0
03/06/2023  23:00:35  5               14             0            1                 0
03/06/2023  23:00:36  5               13             0            1                 0
03/06/2023  23:00:37  5               14             0            1                 0
03/06/2023  23:00:38  5               14             0            1                 0
03/06/2023  23:00:40  5               14             0            1                 0
03/06/2023  23:00:41  5               14             0            1                 0
03/06/2023  23:00:43  5               14             0            1                 0
03/06/2023  23:00:44  5               14             0            1                 0
03/06/2023  23:00:45  5               14             0            1                 0
03/06/2023  23:00:47  5               13             0            1                 0
03/06/2023  23:00:48  5               14             0            1                 0
03/06/2023  23:00:50  5               14             0            1                 0
03/06/2023  23:00:51  5               14             0            1                 0
03/06/2023  23:00:52  5               14             0            1                 0
03/06/2023  23:00:54  5               14             0            1                 0
03/06/2023  23:01:03  5               13             0            1                 0
03/06/2023  23:01:04  5               13             0            1                 0
03/06/2023  23:01:06  5               13             0            1                 0
03/06/2023  23:01:08  5               13             0            1                 0
03/06/2023  23:01:09  5               13             0            1                 0
03/06/2023  23:01:10  5               13             0            1                 0
03/06/2023  23:01:11  5               13             0            1                 0
03/06/2023  23:01:12  5               13             0            1                 0
03/06/2023  23:01:13  5               13             0            1                 0
03/06/2023  23:01:14  5               13             0            1                 0
03/06/2023  23:01:15  5               13             0            1                 0
03/06/2023  23:01:16  5               13             0            1                 0
03/06/2023  23:01:17  5               13             0            1                 0
03/06/2023  23:01:18  5               13             0            1                 0
03/06/2023  23:01:19  5               13             0            1                 0
03/06/2023  23:01:20  5               13             0            1                 0
03/06/2023  23:01:21  5               13             0            1                 0
03/06/2023  23:01:22  5               13             0            1                 0
03/06/2023  23:01:23  5               13             0            1                 0
03/06/2023  23:01:24  5               13             0            1                 0
03/06/2023  23:01:25  5               13             0            1                 0
03/06/2023  23:01:26  5               13             0            1                 0
03/06/2023  23:01:27  5               13             0            1                 0
03/06/2023  23:01:28  5               13             0            1                 0
03/06/2023  23:01:29  5               13             0            1                 0
03/06/2023  23:01:31  5               13             0            1                 0
03/06/2023  23:01:32  5               13             0            1                 0
03/06/2023  23:01:33  5               13             0            1                 0
03/06/2023  23:01:34  5               13             0            1                 0
03/06/2023  23:01:35  5               13             0            1                 0
03/06/2023  23:01:36  5               13             0            1                 0
03/06/2023  23:01:37  5               13             0            1                 0
03/06/2023  23:01:38  5               13             0            1                 0
03/06/2023  23:01:39  5               13             0            1                 0
03/06/2023  23:01:40  5               13             0            1                 0
03/06/2023  23:01:41  5               13             0            1                 0
03/06/2023  23:01:42  5               13             0            1                 0
03/06/2023  23:01:43  5               13             0            1                 0
03/06/2023  23:01:44  5               13             0            1                 0
03/06/2023  23:01:45  5               14             0            1                 0
03/06/2023  23:01:46  5               14             0            1                 0
03/06/2023  23:01:47  5               13             0            1                 0
03/06/2023  23:01:48  5               13             0            1                 0
03/06/2023  23:01:49  5               13             0            1                 0
03/06/2023  23:01:50  5               13             0            1                 0
03/06/2023  23:01:51  5               13             0            1                 0
03/06/2023  23:01:52  5               13             0            1                 0
03/06/2023  23:01:54  5               13             0            1                 0
03/06/2023  23:01:56  5               13             0            1                 0
03/06/2023  23:01:57  5               13             0            1                 0
03/06/2023  23:01:58  5               13             0            1                 0
03/06/2023  23:01:59  5               13             0            1                 0
03/06/2023  23:02:00  5               13             0            1                 0
03/06/2023  23:02:01  5               13             0            1                 0
03/06/2023  23:02:02  5               13             0            1                 0
03/06/2023  23:02:03  5               13             0            1                 0
03/06/2023  23:02:04  5               13             0            1                 0
03/06/2023  23:02:05  5               13             0            1                 0
03/06/2023  23:02:06  5               13             0            1                 0
03/06/2023  23:02:07  5               13             0            1                 0
03/06/2023  23:02:08  5               13             0            1                 0
03/06/2023  23:02:09  5               13             0            1                 0
03/06/2023  23:02:10  5               13             0            1                 0
03/06/2023  23:02:11  5               13             0            1                 0
03/06/2023  23:02:12  5               13             0            1                 0
03/06/2023  23:02:13  5               13             0            1                 0
03/06/2023  23:02:14  5               13             0            1                 0
03/06/2023  23:02:16  5               13             0            1                 0
03/06/2023  23:02:17  5               13             0            1                 0
03/06/2023  23:02:18  5               13             0            1                 0
03/06/2023  23:02:19  5               13             0            1                 0
03/06/2023  23:02:20  5               13             0            1                 0
03/06/2023  23:02:21  5               13             0            1                 0
03/06/2023  23:02:22  5               13             0            1                 0
03/06/2023  23:02:23  5               13             0            1                 0
03/06/2023  23:02:24  5               13             0            1                 0
03/06/2023  23:02:25  5               13             0            1                 0
03/06/2023  23:02:26  5               13             0            1                 0
03/06/2023  23:02:27  5               13             0            1                 0
03/06/2023  23:02:28  5               13             0            1                 0
03/06/2023  23:02:29  5               13             0            1                 0
03/06/2023  23:02:30  5               13             0            1                 0
03/06/2023  23:02:31  5               13             0            1                 0
03/06/2023  23:02:32  5               13             0            1                 0
03/06/2023  23:02:33  5               13             0            1                 0
03/06/2023  23:02:34  5               13             0            1                 0
03/06/2023  23:02:35  5               13             0            1                 0
03/06/2023  23:02:36  5               13             0            1                 0
